generation,average fitness,max fitness
1,17.74,500.0
2,43.695,500.0
3,167.29,500.0
4,371.945,500.0
5,464.545,500.0
6,487.625,500.0
7,479.915,500.0
8,483.3,500.0
9,490.925,500.0
10,483.72,500.0
11,488.995,500.0
12,496.135,500.0
13,478.54,500.0
14,486.73,500.0
15,481.86,500.0
16,487.095,500.0
17,487.55,500.0
18,490.92,500.0
19,486.82,500.0
20,486.94,500.0
21,490.285,500.0
22,492.665,500.0
23,484.41,500.0
24,495.14,500.0
25,487.19,500.0
26,489.63,500.0
27,490.755,500.0
28,488.95,500.0
29,488.635,500.0
30,489.48,500.0
31,485.85,500.0
32,487.6,500.0
33,491.42,500.0
34,486.45,500.0
35,490.005,500.0
36,486.09,500.0
37,491.0,500.0
38,476.85,500.0
39,485.94,500.0
40,480.5,500.0
41,492.125,500.0
42,491.29,500.0
43,488.755,500.0
44,490.515,500.0
45,491.015,500.0
46,485.085,500.0
47,491.66,500.0
48,491.6,500.0
49,486.005,500.0
50,486.505,500.0
51,484.245,500.0
52,475.21,500.0
53,484.795,500.0
54,482.695,500.0
55,482.61,500.0
56,483.79,500.0
57,494.985,500.0
58,492.23,500.0
59,487.795,500.0
60,489.325,500.0
61,485.975,500.0
62,495.835,500.0
63,486.59,500.0
64,495.89,500.0
65,490.975,500.0
66,493.945,500.0
67,486.69,500.0
68,493.43,500.0
69,498.26,500.0
70,488.315,500.0
71,488.865,500.0
72,482.975,500.0
73,491.03,500.0
74,489.54,500.0
75,488.93,500.0
76,489.59,500.0
77,494.16,500.0
78,490.595,500.0
79,488.935,500.0
80,488.14,500.0
81,483.065,500.0
82,484.78,500.0
83,493.07,500.0
84,481.725,500.0
85,493.965,500.0
86,494.09,500.0
87,483.675,500.0
88,491.735,500.0
89,487.815,500.0
90,491.375,500.0
91,482.765,500.0
92,486.735,500.0
93,485.2,500.0
94,491.39,500.0
95,493.865,500.0
96,491.57,500.0
97,480.87,500.0
98,487.27,500.0
99,485.96,500.0
100,486.365,500.0
