attempt,score
1,-130.32830909238925
2,-143.50277020625725
3,-132.27466660019692
4,-140.48300436498238
5,-82.94174830123075
6,-195.44282382729412
7,-94.30494742424696
8,-151.17607817008317
9,-190.13540870544227
10,-83.564038135669
11,-155.070675230624
12,-185.7281183571929
13,-111.72041353574781
14,-110.61418673461847
15,-171.90948654764242
16,-203.50071305735239
17,-135.7856477328051
18,-139.12401298674868
19,-22.055466314366612
20,-145.38679889777814
21,-174.32848500601384
22,-126.97473850049789
23,-155.1147560395244
24,-148.98905683120233
25,-179.97488588865798
26,-103.83195225041379
27,-92.85812947527572
28,-110.2261754273512
29,-107.0691608588352
30,27.60679843402866
31,-81.24761704472158
32,-151.36258908927184
33,-145.42235114051675
34,-135.70842349605297
35,-165.41863746153658
36,-132.1463737334101
37,-123.79524227164944
38,-110.34621304419557
39,-74.49930627039754
40,-114.8404777416144
41,-14.295455707457648
42,-145.4228800984344
43,-200.03146749726847
44,-121.66888040515218
45,-204.379246574908
46,-150.59754828575072
47,-118.68222738715531
48,-147.04061671264267
49,-152.75422129233667
50,-173.3840324441138
51,-119.31976952658641
52,-153.99655118135084
53,-180.38563988757437
54,-119.60936382560578
55,-139.18147521579732
56,-80.66824424862992
57,-144.55011737392374
58,-138.05747719114748
59,-129.81994564307502
60,-88.73776294389597
61,-114.61958605272696
62,-122.0704169269309
63,-86.77305135089395
64,-159.95696151108396
65,-147.55913480259787
66,-133.28803714778687
67,-320.75444451144074
68,-121.08512867931094
69,-153.0828614478739
70,-122.82904085585739
71,-158.42819149407245
72,-130.73712415779283
73,-130.91600050027745
74,-148.09090624687718
75,-143.00163363011652
76,-140.67003665595186
77,-111.36647178241361
78,-140.64405863505377
79,-112.4942063487872
80,15.82460589724667
81,-118.25868608730084
82,-111.41221797039057
83,-101.79030053057446
84,-177.66310849575538
85,-148.45496828668252
86,-156.81372546831471
87,-85.34814876965834
88,-134.75272105928525
89,-157.1296000889055
90,-137.57990989520573
91,-146.39235745758577
92,-133.33830309271292
93,-119.64451660297769
94,-117.36534544853967
95,-111.1954059675858
96,-132.91896531173182
97,-130.24868051369316
98,-158.96729569883706
99,-142.37874070276615
100,-190.8497681439746
