episode,score
1,153
2,129
3,139
4,257
5,276
6,146
7,128
8,158
9,182
10,137
11,139
12,190
13,117
14,121
15,172
16,172
17,163
18,274
19,131
20,215
21,160
22,125
23,119
24,225
25,197
26,218
27,131
28,352
29,171
30,174
31,144
32,120
33,162
34,163
35,162
36,157
37,172
38,148
39,137
40,135
41,137
42,163
43,153
44,112
45,145
46,147
47,128
48,202
49,137
50,180
51,172
52,258
53,130
54,172
55,126
56,171
57,142
58,131
59,146
60,141
61,112
62,157
63,122
64,193
65,170
66,181
67,245
68,132
69,121
70,110
71,153
72,156
73,38
74,113
75,116
76,198
77,126
78,198
79,66
80,155
81,171
82,209
83,123
84,191
85,120
86,116
87,124
88,148
89,289
90,169
91,41
92,156
93,143
94,126
95,143
96,111
97,47
98,11
99,13
100,10
