episode,epsilon,score
1,1.0,11
2,0.9416228069143757,21
3,0.8911090557802088,12
4,0.851801859600347,10
5,0.7590483508202912,24
6,0.7183288830986236,12
7,0.6211445383053219,30
8,0.5732736268885887,17
9,0.531750826943791,16
10,0.5057535983897912,11
11,0.46912134373457726,16
12,0.3543053533848483,57
13,0.33362200135903064,13
14,0.29580711868545667,25
15,0.2570720625972084,29
16,0.23489314109365644,19
17,0.19709615934585656,36
18,0.182820281282489,16
19,0.1678868750508869,18
20,0.14444721332374086,31
21,0.11702497557911415,43
22,0.10692863247165257,19
23,0.07955285615946175,60
24,0.0716045256805401,22
25,0.06191698689958447,30
26,0.05685938874076987,18
27,0.045605554379880814,45
28,0.03657912327863173,45
29,0.029192542808371146,46
30,0.013289101019874787,158
31,0.01,136
32,0.01,137
33,0.01,128
34,0.01,124
35,0.01,137
36,0.01,225
37,0.01,262
38,0.01,205
39,0.01,263
40,0.01,200
41,0.01,183
42,0.01,216
43,0.01,168
44,0.01,238
45,0.01,222
46,0.01,186
47,0.01,239
48,0.01,195
49,0.01,222
50,0.01,247
51,0.01,234
52,0.01,194
53,0.01,258
54,0.01,154
55,0.01,278
56,0.01,192
57,0.01,134
58,0.01,228
59,0.01,125
60,0.01,89
61,0.01,118
62,0.01,155
63,0.01,156
64,0.01,187
65,0.01,191
66,0.01,142
67,0.01,266
68,0.01,207
69,0.01,180
70,0.01,268
71,0.01,174
72,0.01,168
73,0.01,151
74,0.01,188
75,0.01,135
76,0.01,193
77,0.01,189
78,0.01,138
79,0.01,232
80,0.01,339
81,0.01,154
82,0.01,145
83,0.01,239
84,0.01,191
85,0.01,211
86,0.01,146
87,0.01,147
88,0.01,158
89,0.01,253
90,0.01,276
91,0.01,162
92,0.01,280
93,0.01,300
94,0.01,191
95,0.01,164
96,0.01,164
97,0.01,189
98,0.01,220
99,0.01,179
100,0.01,134
